name,url,note
Stolo Family Vineyards,https://www.openstreetmap.org/way/317758787,added
Harmony Cellars,https://www.openstreetmap.org/way/317759981,added
Ross Keller Winery,https://www.openstreetmap.org/#map=16/35.01381/-120.47428,research indicates closed. Signage visible along main road.
SVP Winery,http://www.openstreetmap.org/way/219502135,research indicates 4 points at this location; Solana Cellars|AronHill Vineyards|Row Eleven Wine Co.
Manavidou Winery,http://www.manavidouwinery.com/,research failed to locate
Laetitia Vineyard And Winery,http://www.openstreetmap.org/relation/4287389,added
Topco Inc.,https://www.openstreetmap.org/way/160165696,research indicates manufacturer of wine barrel racks
Monarch Grove Winery,http://monarchgrovewinery.com/,research failed to locate both winery and tasting room
JUSTIN Winery,https://www.openstreetmap.org/way/319463690,edited
Midnight Cellars,https://www.openstreetmap.org/way/319462356,added
Shale Oak Winery,https://www.openstreetmap.org/way/319462360,added
Niner Wine Estates,https://www.openstreetmap.org/way/319462358,edited
Toucan Wines,http://www.openstreetmap.org/way/319489488,added
